Date,Open,High,Low,Close,Adj Close,Volume
2014-12-26,613000,618000,609000,616000,603389.125,22012
2014-12-29,620000,630000,616000,630000,621135.9375,29422
2014-12-30,624000,631000,617000,623000,614234.4375,37080
2015-01-02,623000,623000,610000,618000,609304.75,23066
2015-01-05,615000,622000,609000,610000,601417.3125,27781
2015-01-06,610000,618000,596000,606000,597473.625,34268
2015-01-07,605000,610000,597000,600000,591558.0625,29868
2015-01-08,597000,620000,596000,613000,604375.125,50053
2015-01-09,609000,617000,605000,607000,598459.5,65776
2015-01-12,606000,614000,606000,613000,604375.125,20716
2015-01-13,619000,625000,608000,621000,612262.5,41740
2015-01-14,621000,626000,608000,615000,606346.9375,24650
2015-01-15,611000,620000,605000,619000,610290.6875,37310
2015-01-16,613000,620000,611000,613000,604375.125,17802
2015-01-19,614000,621000,612000,613000,604375.125,14953
2015-01-20,612000,620000,611000,615000,606346.9375,22437
2015-01-21,613000,618000,597000,599000,590572.0625,42676
2015-01-22,594000,607000,594000,605000,596487.6875,47628
2015-01-23,605000,615000,597000,603000,594515.8125,43189
2015-01-26,599000,609000,596000,598000,589586.125,35213
2015-01-27,603000,630000,598000,626000,617192.1875,83963
2015-01-28,650000,682000,643000,676000,666488.6875,177951
2015-01-29,670000,689000,667000,679000,669446.5,65952
2015-01-30,685000,706000,681000,688000,678319.875,57852
2015-02-02,680000,699000,672000,687000,677333.9375,38431
2015-02-03,687000,696000,687000,693000,683249.5,35779
2015-02-04,696000,696000,680000,680000,670432.375,34604
2015-02-05,677000,691000,677000,687000,677333.9375,52798
2015-02-06,687000,700000,685000,700000,690151,29396
2015-02-09,704000,704000,689000,689000,679305.75,29744
2015-02-10,690000,695000,681000,689000,679305.75,27598
2015-02-11,685000,696000,678000,680000,670432.375,40550
2015-02-12,681000,687000,673000,683000,673390.1875,24255
2015-02-13,680000,699000,679000,699000,689165.125,45303
2015-02-16,694000,699000,680000,682000,672404.3125,29487
2015-02-17,680000,685000,671000,682000,672404.3125,38285
2015-02-23,682000,690000,665000,682000,672404.3125,44241
2015-02-24,676000,700000,676000,700000,690151,35517
2015-02-25,703000,704000,692000,694000,684235.4375,30121
2015-02-26,699000,699000,674000,678000,668460.5625,42622
2015-02-27,675000,681000,670000,670000,660573.125,32268
2015-03-02,669000,671000,647000,649000,639868.5625,56664
2015-03-03,650000,664000,646000,653000,643812.3125,39302
2015-03-04,648000,654000,640000,645000,635924.875,24877
2015-03-05,643000,667000,643000,649000,639868.5625,25133
2015-03-06,652000,671000,650000,669000,659587.1875,25246
2015-03-09,666000,677000,651000,655000,645784.125,29123
2015-03-10,657000,671000,651000,653000,643812.3125,34788
2015-03-11,645000,662000,645000,655000,645784.125,39058
2015-03-12,651000,681000,651000,681000,671418.375,78728
2015-03-13,685000,685000,670000,675000,665502.75,24797
2015-03-16,675000,720000,667000,719000,708883.6875,104538
2015-03-17,726000,759000,725000,758000,747335,64913
2015-03-18,762000,764000,734000,737000,726630.4375,53602
2015-03-19,737000,756000,736000,752000,741419.375,78516
2015-03-20,742000,760000,742000,757000,746349,42576
2015-03-23,749000,754000,742000,749000,738461.5625,33919
2015-03-24,745000,760000,744000,760000,749306.8125,47479
2015-03-25,765000,811000,763000,800000,788744,102059
2015-03-26,800000,817000,766000,781000,770011.375,52409
2015-03-27,788000,797000,769000,788000,776912.875,34578
2015-03-30,784000,812000,782000,799000,787758.0625,25371
2015-03-31,808000,845000,800000,841000,829167.125,47899
2015-04-01,828000,867000,821000,840000,828181.25,64446
2015-04-02,847000,864000,801000,801000,789730,81034
2015-04-03,803000,810000,782000,790000,778884.6875,36150
2015-04-06,793000,802000,784000,794000,782828.4375,23689
2015-04-07,794000,798000,772000,772000,761138,51078
2015-04-08,772000,800000,772000,800000,788744,33878
2015-04-09,810000,813000,782000,797000,785786.25,43100
2015-04-10,793000,855000,777000,836000,824237.5,83076
2015-04-13,836000,859000,827000,839000,827195.3125,48468
2015-04-14,844000,850000,785000,796000,784800.25,102880
2015-04-15,790000,835000,790000,822000,810434.5,79648
2015-04-16,825000,854000,825000,830000,818321.875,73120
2015-04-17,840000,899000,837000,880000,867618.4375,131042
2015-04-20,868000,919000,868000,894000,881421.4375,144525
2015-04-21,906000,951000,902000,933000,919872.75,120509
2015-04-22,920000,923000,873000,894000,881421.4375,155774
2015-04-23,898000,920000,886000,911000,898182.25,79380
2015-04-24,913000,926000,881000,897000,884379.25,67720
2015-04-27,897000,913000,888000,888000,875505.875,52353
2015-04-28,885000,897000,870000,871000,858745.0625,63433
2015-04-29,880000,887000,819000,847000,835082.6875,144055
2015-04-30,831000,838000,788000,788000,776912.875,182972
2015-05-04,788000,823000,784000,823000,811420.4375,81434
2015-05-06,823000,829000,801000,829000,817336,60726
2015-05-07,822000,827000,794000,817000,805504.8125,60302
2015-05-08,807000,827000,799000,805000,793673.6875,69780
2015-05-11,819000,840000,819000,835000,823251.625,95630
2015-05-12,838000,846000,825000,831000,819307.875,64998
2015-05-13,825000,852000,825000,849000,837054.625,54398
2015-05-14,862000,874000,840000,840000,828181.25,42767
2015-05-15,853000,869000,844000,860000,847899.8125,68448
2015-05-18,874000,893000,862000,889000,876491.75,94761
2015-05-19,896000,898000,869000,882000,869590.3125,69072
2015-05-20,883000,891000,877000,891000,878463.6875,34618
2015-05-21,891000,902000,881000,884000,871562.125,46015
2015-05-22,885000,892000,848000,857000,844942.0625,60044
2015-05-26,857000,875000,847000,854000,841984.25,53360
2015-05-27,847000,854000,808000,819000,807476.6875,126344
2015-05-28,812000,841000,810000,831000,819307.875,67017
2015-05-29,825000,846000,808000,808000,796631.4375,90765
